RISK_ORDER,RISK_SEGMENT,APPLICATIONS,AVERAGE_PD,AVERAGE_SCORE,MIN_SCORE,MAX_SCORE
1,HIGH RISK,2,0.1903857661,529,525,533
2,MEDIUM RISK,3,0.0456641276,576,566,582
